start,end,id,capacity,length,speed,startlat,startlon,endlat,endlon
420,421,42550285,1,7.5,45,42.361732,-71.08191,42.361767,-71.08198
421,422,42550285,1,8.074853,45,42.361767,-71.08198,42.36172,-71.082054
422,423,42550285,1,7.5,45,42.361656,-71.082016,42.361645,-71.08194
423,424,42550285,2,17.85941,45,42.361927,-71.08196,42.361767,-71.08198
424,425,42550285,7,54.78072,45,42.3612,-71.08166,42.361645,-71.08194
425,426,42550285,4,30.77827,45,42.363678,-71.0819,42.363598,-71.08154
426,427,268980333,4,35.267643,45,42.36106,-71.08618,42.36103,-71.085754
427,428,268980333,3,29.797932,45,42.361996,-71.08604,42.36173,-71.08607
428,429,268980333,1,10.110014,45,42.36173,-71.08607,42.361717,-71.085945
429,430,268980333,2,16.386196,45,42.361717,-71.085945,42.361702,-71.08575
430,431,268980333,1,7.569897,45,42.361702,-71.08575,42.361694,-71.085655
431,432,268980333,2,15.8141365,45,42.361694,-71.085655,42.361675,-71.085464
432,433,268980333,12,90.710396,45,42.361675,-71.085464,42.360867,-71.08561
433,434,268980333,2,20.398962,45,42.360847,-71.08577,42.36103,-71.085754
434,435,268980333,9,74.25496,45,42.36103,-71.085754,42.361694,-71.085655
435,436,268980333,3,29.857212,45,42.361717,-71.085945,42.361984,-71.08591
436,437,268980333,3,29.37528,45,42.361965,-71.08572,42.361702,-71.08575
437,438,268980333,3,25.151619,45,42.3619,-71.085434,42.361675,-71.085464
438,439,426493078,29,224.18793,45,42.36396,-71.08748,42.362965,-71.085106
439,440,426493078,9,71.76985,45,42.363716,-71.08665,42.36404,-71.0874
440,441,426493078,9,68.96513,45,42.36236,-71.08375,42.36276,-71.08439
441,442,426493078,28,213.9199,45,42.36276,-71.08439,42.363716,-71.08665
442,443,426493078,8,66.81055,45,42.362965,-71.085106,42.36265,-71.08441
443,444,426493078,8,63.14966,45,42.36265,-71.08441,42.362286,-71.083824
444,445,8616238,16,126.73687,45,42.363365,-71.083786,42.36299,-71.08233
445,446,8616238,6,46.714226,45,42.36299,-71.08233,42.362617,-71.08207
446,447,8616238,7,52.780403,45,42.362617,-71.08207,42.362144,-71.08212
447,448,141434934,16,122.39024,45,42.36395,-71.08342,42.363632,-71.08199
448,449,141434934,1,13.991669,45,42.363632,-71.08199,42.36372,-71.08187
449,450,141434934,8,63.257717,45,42.36372,-71.08187,42.36428,-71.08174
450,451,426493091,5,44.666508,45,42.366432,-71.08782,42.366398,-71.08836
451,452,426493091,6,45.882412,45,42.36629,-71.08835,42.36632,-71.08779
452,453,8615702,13,103.69533,45,42.362022,-71.082794,42.3619,-71.08154
453,454,8615381,35,266.05658,45,42.35998,-71.08763,42.36099,-71.084694
454,455,8615295,4,33.646362,45,42.366383,-71.082,42.36666,-71.08184
455,456,426493100,4,31.868246,45,42.366398,-71.08836,42.366276,-71.088715
456,457,426493100,4,35.088417,45,42.36614,-71.08872,42.36629,-71.08835
457,458,158304542,13,99.44339,45,42.363552,-71.08784,42.363983,-71.0889
458,459,158304542,28,214.05261,45,42.36453,-71.08855,42.36621,-71.08728
459,460,158304542,30,230.43138,45,42.36434,-71.0881,42.366142,-71.08671
460,461,8616115,17,131.83328,45,42.364464,-71.08312,42.364254,-71.08154
461,462,141451486,3,26.111732,45,42.364548,-71.08528,42.36434,-71.085434
462,463,141451486,1,7.5,45,42.365387,-71.08425,42.36545,-71.084236
463,464,268982972,6,45.76192,45,42.361916,-71.08448,42.36191,-71.08504
464,465,268982972,3,25.202951,45,42.36149,-71.08471,42.361465,-71.084404
465,466,90709600,10,77.6153,45,42.361904,-71.08716,42.361824,-71.08622
466,467,242655751,1,7.5,45,42.362144,-71.084236,42.36221,-71.08423
467,468,141451490,2,21.562231,45,42.364826,-71.08631,42.364998,-71.08619
468,469,141451490,1,10.543795,45,42.364998,-71.08619,42.365078,-71.08612
469,470,141451490,6,48.192497,45,42.365078,-71.08612,42.364983,-71.08555
470,471,141451490,1,7.5,45,42.364998,-71.08619,42.36498,-71.086136
471,472,141451490,7,54.707817,45,42.365383,-71.086006,42.3653,-71.08535
472,473,141451490,7,58.558437,45,42.365585,-71.08596,42.365494,-71.08526
473,474,141451490,7,58.558292,45,42.365746,-71.08592,42.365654,-71.08522
474,475,141451490,4,32.279167,45,42.364902,-71.08548,42.36476,-71.08514
475,476,141451490,3,22.890236,45,42.36476,-71.08514,42.364662,-71.08489
476,477,141451490,1,7.5,45,42.36541,-71.08522,42.365414,-71.08527
477,478,141451490,1,8.132816,45,42.36476,-71.08514,42.364697,-71.08518
478,479,141451490,5,40.888584,45,42.365204,-71.08483,42.364883,-71.085075
479,480,141451490,2,18.994247,45,42.364883,-71.085075,42.36497,-71.08527
480,481,141451490,4,33.1296,45,42.36497,-71.08527,42.36523,-71.085075
481,482,141451490,7,52.56796,45,42.36326,-71.08493,42.363026,-71.08437
482,483,141451490,7,52.567867,45,42.363403,-71.084816,42.36317,-71.08426
483,484,141451490,5,38.360577,45,42.361473,-71.084526,42.361816,-71.08448
484,485,141451490,2,15.72282,45,42.361816,-71.08448,42.361828,-71.08467
485,486,141451490,5,37.88146,45,42.361828,-71.08467,42.36149,-71.08471
486,487,141451490,7,52.777847,45,42.363556,-71.0847,42.36332,-71.084145
487,488,141451490,5,40.759014,45,42.365467,-71.08435,42.365402,-71.08386
488,489,141451490,1,7.5,45,42.36545,-71.085266,42.365494,-71.08526
489,490,141451490,2,18.08892,45,42.365494,-71.08526,42.365654,-71.08522
490,491,141451490,2,17.436298,45,42.365654,-71.08522,42.36581,-71.085205
491,492,141451490,7,53.548218,45,42.36581,-71.085205,42.3659,-71.085846
492,493,141451490,2,18.08779,45,42.3659,-71.085846,42.365746,-71.08592
493,494,141451490,2,18.088919,45,42.365746,-71.08592,42.365585,-71.08596
494,495,141451490,3,22.793682,45,42.365585,-71.08596,42.365383,-71.086006
495,496,141451490,2,17.990915,45,42.365383,-71.086006,42.365223,-71.08604
496,497,141451490,5,43.378735,45,42.365223,-71.08604,42.36515,-71.08552
497,498,141451490,2,21.536657,45,42.36515,-71.08552,42.3653,-71.08535
498,499,141451490,1,14.185261,45,42.3653,-71.08535,42.365414,-71.08527
499,500,141451490,1,7.5,45,42.365414,-71.08527,42.36545,-71.085266
500,501,141451490,1,12.13865,45,42.36666,-71.0823,42.366554,-71.08233
501,502,141451490,2,18.300583,45,42.366554,-71.08233,42.366535,-71.08211
502,503,141451490,1,14.494186,45,42.366535,-71.08211,42.36666,-71.08206
503,504,268982969,1,10.881408,45,42.361874,-71.08516,42.36181,-71.08506
504,505,268982969,6,46.927963,45,42.36181,-71.08506,42.36139,-71.08512
505,506,268982969,1,8.503626,45,42.36139,-71.08512,42.361332,-71.08505
506,507,268982969,1,7.7112317,45,42.361332,-71.08505,42.361347,-71.08496
507,508,268982969,6,50.79112,45,42.361347,-71.08496,42.3618,-71.08489
508,509,268982969,2,17.122143,45,42.3618,-71.08489,42.36191,-71.08504
509,510,8615300,6,51.233917,45,42.366207,-71.08605,42.36666,-71.085945
510,511,268980339,1,7.5,45,42.361584,-71.08534,42.361572,-71.08527
511,512,268980339,1,7.5,45,42.361675,-71.08526,42.361683,-71.08533
512,513,268980339,1,7.5,45,42.36192,-71.08515,42.361923,-71.08522
513,514,302156851,7,53.84912,45,42.36262,-71.08816,42.3631,-71.08804
514,515,302156851,15,116.94365,45,42.3631,-71.08804,42.36401,-71.08733
515,516,43359951,1,7.5,45,42.361988,-71.08334,42.361958,-71.083336
516,517,268982970,1,7.5,45,42.361465,-71.084404,42.361458,-71.08433
517,518,220086450,3,26.482327,45,42.361,-71.084656,42.36109,-71.08436
518,519,8615700,20,156.7608,45,42.36042,-71.086395,42.361824,-71.08622
519,520,356677795,22,172.29427,45,42.364716,-71.08931,42.36396,-71.08748
520,521,356677795,12,92.42238,45,42.364418,-71.08829,42.3648,-71.08929
521,522,356677795,11,83.966896,45,42.36404,-71.0874,42.364418,-71.08829
